date,seqNo,open,close,high,low,volume,amount
20160901,1,448000,447700,449600,445100,510882,22880728.6400
20160901,2,447700,450000,453600,447500,448158,20213378.8800
20160901,3,449500,446600,450000,446600,347224,15552939.5700
20160901,4,446600,443900,447700,443400,515735,22967562.7500
20160901,5,443200,447700,448600,442500,244000,10849471.0000
20160901,6,447500,455500,455700,447000,289876,13103679.7300
20160901,7,455500,458100,459900,452800,641000,29290713.4200
20160901,8,457800,460900,462500,457800,897526,41306796.4700
20160901,9,461300,458600,461600,458400,521700,24010927.4700
20160901,10,458600,457000,459500,456000,430400,19701967.2800
20160901,11,457100,456000,460800,449600,312825,14312576.7900
20160901,12,456000,459600,460600,454500,256674,11771898.6800
20160901,13,459000,460000,461600,458500,282123,12985643.7600
20160901,14,460000,460500,461100,459300,278226,12807345.0000
20160901,15,460000,459600,460700,459000,162600,7478658.2800
20160901,16,459300,458900,459600,456200,150379,6885671.1800
20160901,17,459000,458500,459400,457700,79300,3638036.0000
20160901,18,458500,458800,458900,457500,79326,3634355.9400
20160901,19,458800,459600,460900,458500,148505,6828001.3800
20160901,20,459600,467000,468800,459600,797262,37033415.7500
20160901,21,467500,469000,473600,465000,709752,33307730.9300
20160901,22,469000,464900,470000,462900,256899,12043554.2200
20160901,23,463300,465900,467500,463300,188000,8761129.1600
20160901,24,465900,467800,467900,463500,156388,7283033.5300
20160901,25,467800,467600,469900,467200,152644,7147995.0500
20160901,26,467600,463800,468500,463600,127927,5968608.9400
20160901,27,463800,461800,464800,459800,188582,8722445.4600
20160901,28,461800,459000,461800,459000,238451,10970308.8300
20160901,29,459000,458400,459700,458100,156189,7171448.5600
20160901,30,458100,456500,458100,455000,220694,10063507.0400
20160901,31,456700,455500,456700,452000,212314,9639854.5300
20160901,32,455500,456500,457700,455500,92400,4219530.0000
20160901,33,456600,457400,458500,456000,120200,5493909.1400
20160901,34,457200,457100,457600,456100,63100,2883206.0000
20160901,35,457100,453800,457100,452500,143656,6534393.0500
20160901,36,453800,458500,458500,453800,126926,5792478.7600
20160901,37,458000,459800,460000,456600,74525,3413363.5000
20160901,38,459800,458600,460000,458300,48226,2213869.5800
20160901,39,458600,457900,460900,457900,244100,11202616.7900
20160901,40,457900,462100,463100,457300,194062,8948367.2000
20160901,41,461600,461500,462500,460700,178400,8236295.0000
20160901,42,461500,458000,461500,457000,129816,5957589.8000
20160901,43,458200,458400,459900,458000,86400,3965542.2200
20160901,44,458400,469200,469200,457500,388706,17960714.0500
20160901,45,469700,473000,478500,465300,1440462,68184871.3700
20160901,46,473400,471000,476600,471000,895400,42466524.7200
20160901,47,471000,466300,471000,466100,523069,24519102.2700
20160901,48,466300,466600,469000,465500,692480,32355338.9900
20160902,1,450000,455000,455800,448100,1003827,45313411.2400
20160902,2,455000,457000,457000,452500,457964,20854703.9400
20160902,3,457000,459000,460000,455000,318155,14543653.9700
20160902,4,459000,457400,459000,456100,210625,9637955.5000
20160902,5,457300,455700,457400,453300,239525,10905168.8300
20160902,6,455700,457500,458800,455700,117600,5378958.0000
20160902,7,457900,459500,460700,457500,123430,5668226.5000
20160902,8,459900,463000,464500,458400,211901,9787553.4200
20160902,9,463000,462900,463500,460500,132900,6143278.0000
20160902,10,462900,463100,464800,461000,258821,12001242.5200
20160902,11,463500,459800,463800,458200,135000,6222289.5200
20160902,12,459200,459100,460200,458600,173390,7966518.5200
20160902,13,459000,456200,459900,455800,192570,8821954.8800
20160902,14,456200,457000,458000,455800,139076,6349096.8300
20160902,15,457000,453600,457000,451800,257624,11690162.9200
20160902,16,454000,452700,456000,452700,175426,7962027.8800
20160902,17,453000,453000,455300,452600,206637,9370313.3500
20160902,18,453000,454000,455300,452900,81135,3686615.6700
20160902,19,454000,451800,454000,449800,433242,19545405.1000
20160902,20,451000,451000,452000,450400,164064,7398634.5600
20160902,21,451000,451000,452600,450400,117700,5310953.0000
20160902,22,451000,452500,452500,448000,230610,10365313.1200
20160902,23,452800,453600,454800,452200,176100,7991318.4200
20160902,24,453600,454500,454700,453000,77358,3512655.3400
20160902,25,454500,452600,454800,452600,55900,2537946.0000
20160902,26,452800,453800,454000,452300,28000,1268280.0000
20160902,27,453300,452300,453300,452100,45300,2050780.0000
20160902,28,452300,452100,453300,452000,59382,2688491.4000
20160902,29,452400,451000,452400,450600,97570,4402942.7200
20160902,30,450900,451100,451800,450400,86755,3912630.5800
20160902,31,450600,454300,454300,448700,233444,10494540.9500
20160902,32,454300,454300,454400,452000,83215,3774843.6300
20160902,33,454300,454700,458300,454000,150007,6833449.7900
20160902,34,455100,454100,456100,451800,87062,3955858.0000
20160902,35,454100,455000,456000,453500,61075,2776420.7500
20160902,36,455000,455100,455800,454200,101300,4611553.0000
