date,seqNo,open,close,high,low,volume,amount
20170524,1,91200,89600,91600,88800,3556500,31895442.4400
20170524,2,89800,86800,89800,86800,4703800,41484649.0100
20170524,3,86900,87500,88100,86700,5340301,46724709.7100
20170524,4,87500,89200,89700,87200,2372098,20936003.4800
20170524,5,89200,88900,89500,88700,1939200,17278712.0000
20170524,6,88900,89900,90800,88800,1876600,16859386.0000
20170524,7,90000,89800,90400,89700,996899,8980040.0200
20170524,8,89800,89500,89900,89100,741201,6628464.9800
20170524,9,89600,89400,89700,89100,627000,5605940.0000
20170524,10,89300,90500,91100,89300,1784200,16146123.0000
20170524,11,90700,91200,91500,90500,1748800,15922898.0000
20170524,12,91200,91300,91300,90600,1032700,9393965.0000
20170524,13,91200,91600,91900,91100,2884000,26422740.2100
20170524,14,91600,91200,91600,91100,1043100,9529124.0000
20170524,15,91200,90900,91400,90800,921000,8396586.0000
20170524,16,90800,90800,91100,90800,418900,3811443.0000
20170524,17,90800,90600,90900,90500,679200,6158085.0000
20170524,18,90600,90600,90800,90400,528900,4792654.0000
20170524,19,90700,91000,91000,90500,458093,4153245.6800
20170524,20,91000,91200,91400,90900,607400,5540073.0000
20170524,21,91200,90800,91200,90800,296600,2699984.0000
20170524,22,90800,91000,91100,90800,351100,3195034.0000
20170524,23,91000,91100,91300,91000,415902,3792322.2000
20170524,24,91100,91000,91200,90900,271498,2472436.7800
20170524,25,90900,90600,91100,90600,444900,4040364.0000
20170524,26,90600,90200,90600,90100,871000,7863550.0000
20170524,27,90200,89700,90500,89600,1076600,9698037.0000
20170524,28,89600,89500,89900,89200,1306500,11696346.4000
20170524,29,89400,89900,90200,89400,1091430,9796489.4000
20170524,30,89900,89700,90000,89300,784570,7034605.6000
20170524,31,89600,89600,90000,89500,641500,5754922.9000
20170524,32,89600,89200,89700,89100,1103100,9854906.0000
20170524,33,89200,89900,89900,89200,867910,7762656.5000
20170524,34,89900,89100,90000,89100,984390,8800508.4000
20170524,35,89200,89500,89600,89000,1395600,12439096.0000
20170524,36,89500,91200,91500,89400,2421342,21982667.2700
20170524,37,91100,92000,93100,91000,9660181,89144401.4400
20170524,38,92000,91500,92200,91500,2458091,22577459.7200
20170524,39,91500,91900,92000,91200,1257241,11511148.6300
20170524,40,91900,91900,92000,91500,957567,8786102.4100
20170524,41,91800,92800,92800,91600,2003058,18432947.5200
20170524,42,92700,92600,92900,92000,2545600,23555337.0000
20170524,43,92600,92800,93900,92500,8326200,77635884.9800
20170524,44,92800,92800,93000,92300,1917611,17763052.5300
20170524,45,92700,91900,92900,91800,2239089,20709003.4700
20170524,46,91900,92500,92800,91900,1924811,17794013.4200
20170524,47,92500,92700,92800,92500,3006900,27846768.0000
20170524,48,92600,92800,92900,92500,3924887,36381221.8500
20170623,1,86300,86600,86900,86300,2164800,18742600.9800
20170623,2,86600,86400,86700,86400,1610425,13937423.0000
20170623,3,86500,86600,86600,86300,833300,7205446.0000
20170623,4,86600,86700,86800,86500,688511,5965060.2500
20170623,5,86700,86500,86700,86400,883200,7643385.8900
20170623,6,86500,87200,87300,86500,1211500,10525454.0000
20170623,7,87200,87000,87200,87000,1169800,10189075.0000
20170623,8,87000,87000,87100,86900,744225,6472351.2500
20170623,9,87000,87000,87100,86900,484500,4215413.0000
20170623,10,87000,87000,87000,86900,268800,2336866.0000
20170623,11,87000,86900,87000,86800,332575,2890562.5000
20170623,12,87000,86700,87000,86700,738500,6411709.0000
20170623,13,86700,86700,86800,86600,348400,3020860.0000
20170623,14,86700,86500,86700,86500,476800,4128444.0000
20170623,15,86500,86500,86600,86400,733300,6342527.0000
20170623,16,86500,86600,86600,86400,362600,3137400.0000
20170623,17,86600,86600,86700,86500,469100,4061528.0000
20170623,18,86500,86700,86700,86500,319400,2765416.0000
20170623,19,86700,86700,86700,86600,243000,2105734.0000
20170623,20,86700,86500,86700,86500,578000,5004993.0000
20170623,21,86600,85700,86600,85100,2227000,19158676.7500
20170623,22,85600,85500,85900,85500,1271800,10898561.0000
20170623,23,85600,84600,85600,84500,2758900,23470124.0000
20170623,24,84500,84100,84600,84000,3382100,28483968.0000
20170623,25,84000,84100,84200,83600,2455338,20604294.2000
20170623,26,84100,84200,84500,84100,683000,5758442.0000
20170623,27,84200,84300,84300,84000,808100,6799689.0000
20170623,28,84300,84400,84400,84200,548786,4626986.9800
20170623,29,84300,84600,84600,84300,589500,4975555.0000
20170623,30,84600,84600,84800,84500,571100,4834032.0000
20170623,31,84600,84400,84600,84300,500300,4225336.0000
20170623,32,84400,84100,84500,84000,999900,8418874.0000
20170623,33,84100,84200,84300,84000,739200,6217609.0000
20170623,34,84200,84000,84400,84000,752700,6331796.0000
20170623,35,84000,85400,85400,84000,1418772,12000600.0000
20170623,36,85400,85400,85800,85200,1627000,13918481.0000
20170623,37,85400,85200,85500,85000,500700,4267735.8300
20170623,38,85300,85300,85300,85100,436200,3716467.0000
20170623,39,85300,85200,85400,85100,402317,3430470.0100
20170623,40,85100,85600,85700,85000,778100,6639437.0000
20170623,41,85600,85400,85600,85400,424650,3628924.0000
20170623,42,85400,85700,85800,85400,473600,4054593.0000
20170623,43,85700,85900,86000,85600,875400,7508914.0000
20170623,44,85900,85900,86200,85800,1146300,9857353.0000
20170623,45,85900,86000,86100,85900,709100,6100151.0000
20170623,46,86100,85900,86100,85900,1045000,8987659.0000
20170623,47,85900,85900,86000,85800,1414800,12156105.0000
20170623,48,85800,86000,86100,85800,1623350,13955565.5000
20170606,1,83100,83100,83200,82400,1732400,14347859.0000
20170606,2,83200,83700,84000,83000,927700,7750771.0000
